displ,fuelType,VClass,engId
2.0,Regular,Two Seaters,9011
4.9,Regular,Two Seaters,22020
2.2,Regular,Subcompact Cars,2100
5.2,Regular,Vans,2850
2.2,Premium,Compact Cars,66031
1.8,Regular,Compact Cars,66020
1.6,Regular,Compact Cars,57005
1.8,Regular,Compact Cars,57006
2.0,Regular,Compact Cars,59007
2.3,Regular,Compact Cars,60030
2.8,Premium,Midsize Cars,64012
4.0,Premium,Midsize Cars,12071
5.0,Regular,Midsize Cars,12080
2.2,Regular,Midsize Cars,4112
3.3,Regular,Midsize Cars,4410
3.1,Regular,Midsize Cars,4117
3.1,Regular,Midsize Cars,4118
3.8,Regular,Midsize Cars,4400
4.6,Premium,Midsize Cars,4620
4.9,Premium,Midsize Cars,4640
2.2,Regular,Midsize Cars,4122
5.2,Regular,Vans,2859
3.4,Regular,Midsize Cars,4120
3.4,Regular,Midsize Cars,4119
3.3,Regular,Midsize Cars,2611
3.0,Premium,Midsize Cars,16923
3.0,Premium,Midsize Cars,38032
3.0,Premium,Midsize Cars,38033
5.9,Regular,Vans,2890
2.5,Regular,Midsize Cars,2420
3.0,Regular,Midsize Cars,2510
2.5,Regular,Midsize Cars,2410
3.0,Regular,Midsize Cars,3300
3.0,Premium,Midsize Cars,3320
5.2,Regular,Vans,2854
3.8,Regular,Midsize Cars,3341
3.8,Regular,Midsize Cars,3350
3.8,Premium,Midsize Cars,3360
3.8,Premium,Midsize Cars,3361
5.0,Regular,Midsize Cars,3362
2.0,Regular,Midsize Cars,26501
3.0,Regular,Midsize Cars,26502
4.5,Premium,Midsize Cars,38040
4.5,Premium,Midsize Cars,38041
4.0,Premium,Midsize Cars,57011
2.0,Regular,Midsize Cars,56051
2.5,Premium,Midsize Cars,56052
3.0,Premium,Midsize Cars,56070
4.9,Regular,Vans,3702
6.8,Premium,Midsize Cars,44001
6.8,Premium,Midsize Cars,44008
4.9,Regular,Vans,3705
2.2,Regular,Midsize Cars,57008
3.0,Regular,Midsize Cars,57009
2.0,Regular,Midsize Cars,59005
2.8,Regular,Midsize Cars,59003
2.4,Regular,Midsize Cars,60040
2.2,Premium,Subcompact Cars,2100
4.9,Regular,Vans,3700
2.3,Regular,Midsize Cars,60020
